"","Species","month_year","month","year","Events","Total_animals","Subadult_animals","active_days","sighting_per_day","sighting_per_month","animals_per_day","animals_per_month","subadult_animals_per_day","subadult_animals_per_month"
"121","Canis aureus","2020-08","08","2020",2,2,0,808,0.00247524752475248,0.0767326732673267,0.00247524752475248,0.0767326732673267,0,0
"122","Canis aureus","2020-09","09","2020",4,5,0,767,0.00521512385919166,0.15645371577575,0.00651890482398957,0.195567144719687,0,0
"123","Canis aureus","2020-10","10","2020",7,8,0,765,0.00915032679738562,0.283660130718954,0.0104575163398693,0.324183006535948,0,0
"124","Canis aureus","2020-11","11","2020",2,3,0,691,0.00289435600578871,0.0868306801736614,0.00434153400868307,0.130246020260492,0,0
"125","Canis aureus","2020-12","12","2020",4,4,0,548,0.0072992700729927,0.226277372262774,0.0072992700729927,0.226277372262774,0,0
"126","Canis aureus","2021-01","01","2021",6,7,0,749,0.00801068090787717,0.248331108144192,0.00934579439252336,0.289719626168224,0,0
"127","Canis aureus","2021-02","02","2021",6,9,0,745,0.00805369127516779,0.225503355704698,0.0120805369127517,0.338255033557047,0,0
"128","Canis aureus","2021-04","04","2021",1,1,0,769,0.00130039011703511,0.0390117035110533,0.00130039011703511,0.0390117035110533,0,0
"129","Canis aureus","2021-05","05","2021",2,2,0,814,0.00245700245700246,0.0761670761670762,0.00245700245700246,0.0761670761670762,0,0
"130","Canis aureus","2021-08","08","2021",1,1,0,909,0.0011001100110011,0.0341034103410341,0.0011001100110011,0.0341034103410341,0,0
"131","Canis aureus","2021-09","09","2021",4,5,0,857,0.00466744457409568,0.14002333722287,0.0058343057176196,0.175029171528588,0,0
"132","Canis aureus","2021-10","10","2021",1,1,0,913,0.00109529025191676,0.0339539978094195,0.00109529025191676,0.0339539978094195,0,0
"133","Canis aureus","2021-11","11","2021",1,1,0,757,0.00132100396301189,0.0396301188903567,0.00132100396301189,0.0396301188903567,0,0
"134","Canis aureus","2022-02","02","2022",2,2,0,559,0.0035778175313059,0.100178890876565,0.0035778175313059,0.100178890876565,0,0
"135","Canis aureus","2022-03","03","2022",11,11,0,713,0.0154277699859748,0.478260869565217,0.0154277699859748,0.478260869565217,0,0
"136","Canis aureus","2022-04","04","2022",3,4,0,712,0.00421348314606742,0.126404494382022,0.00561797752808989,0.168539325842697,0,0
"137","Canis aureus","2022-05","05","2022",2,2,0,801,0.00249687890137328,0.0774032459425718,0.00249687890137328,0.0774032459425718,0,0
"138","Canis familiaris","2020-01","01","2020",19,26,0,615,0.0308943089430894,0.957723577235772,0.0422764227642276,1.31056910569106,0,0
"139","Canis familiaris","2020-02","02","2020",4,5,0,678,0.00589970501474926,0.171091445427729,0.00737463126843658,0.213864306784661,0,0
"140","Canis familiaris","2020-03","03","2020",5,5,0,758.5,0.00659195781147001,0.20435069215557,0.00659195781147001,0.20435069215557,0,0
"141","Canis familiaris","2020-04","04","2020",4,4,0,784,0.00510204081632653,0.153061224489796,0.00510204081632653,0.153061224489796,0,0
"142","Canis familiaris","2020-07","07","2020",2,2,0,733,0.00272851296043656,0.0845839017735334,0.00272851296043656,0.0845839017735334,0,0
"143","Canis familiaris","2020-08","08","2020",3,3,0,808,0.00371287128712871,0.11509900990099,0.00371287128712871,0.11509900990099,0,0
"144","Canis familiaris","2020-09","09","2020",9,12,0,767,0.0117340286831812,0.352020860495437,0.015645371577575,0.469361147327249,0,0
"145","Canis familiaris","2020-10","10","2020",3,3,0,765,0.00392156862745098,0.12156862745098,0.00392156862745098,0.12156862745098,0,0
"146","Canis familiaris","2020-11","11","2020",4,5,0,691,0.00578871201157742,0.173661360347323,0.00723589001447178,0.217076700434153,0,0
